day,total_cases,date
0,7.0,2020-02-22
1,8.0,2020-02-23
2,9.0,2020-02-24
3,10.0,2020-02-25
4,12.0,2020-02-26
5,13.0,2020-02-27
6,15.0,2020-02-28
7,18.0,2020-02-29
8,42.0,2020-03-01
9,72.0,2020-03-02
10,114.0,2020-03-03
11,240.0,2020-03-04
12,305.0,2020-03-05
13,437.0,2020-03-06
14,574.0,2020-03-07
15,744.0,2020-03-08
16,1020.0,2020-03-09
17,1405.0,2020-03-10
18,1823.0,2020-03-11
19,2505.0,2020-03-12
20,3350.0,2020-03-13
21,4376.0,2020-03-14
22,5664.0,2020-03-15
23,7377.0,2020-03-16
24,9464.0,2020-03-17
25,12816.0,2020-03-18
26,17427.0,2020-03-19
27,23522.0,2020-03-20
28,30462.0,2020-03-21
29,39691.0,2020-03-22
