player_id,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,salary2022-2023_mill
achiupr01,Precious Achiuwa,C,22,TOR,73,28,1725,7.7,17.5,0.439,1.6,4.5,0.359,6.1,13.0,0.468,2.3,3.8,0.595,4.2,9.5,13.7,2.4,1.1,1.2,2.4,4.4,19.2,105.0,110,2.84016
adamsst01,Steven Adams,C,28,MEM,76,75,1999,5.0,9.2,0.547,0.0,0.0,0.0,5.0,9.2,0.548,2.6,4.8,0.543,8.4,9.8,18.2,6.1,1.6,1.4,2.8,3.7,12.6,125.0,108,17.926829
adebaba01,Bam Adebayo,C,24,MIA,56,56,1825,11.1,20.0,0.557,0.0,0.2,0.0,11.1,19.8,0.562,7.0,9.3,0.753,3.8,11.7,15.5,5.2,2.2,1.2,4.1,4.7,29.3,117.0,104,30.35178
aldamsa01,Santi Aldama,PF,21,MEM,32,0,360,7.0,17.5,0.402,0.8,6.4,0.125,6.2,11.2,0.56,2.7,4.3,0.625,4.4,7.2,11.6,2.8,0.8,1.3,2.1,4.8,17.5,101.0,111,2.09412
allengr01,Grayson Allen,SG,26,MIL,66,61,1805,6.8,15.1,0.448,4.2,10.4,0.409,2.6,4.8,0.533,1.7,2.0,0.865,0.9,5.1,5.9,2.7,1.2,0.5,1.1,2.6,19.5,122.0,114,8.5
allenja01,Jarrett Allen,C,23,CLE,56,56,1809,10.2,15.0,0.677,0.0,0.3,0.1,10.2,14.8,0.688,4.6,6.4,0.708,5.3,11.3,16.6,2.5,1.2,2.1,2.6,2.7,25.0,132.0,106,20.0
alvarjo01,Jose Alvarado,PG,23,NOP,54,1,834,7.8,17.4,0.446,1.9,6.5,0.291,5.9,10.9,0.538,2.1,3.1,0.679,1.5,4.4,5.9,9.0,4.2,0.4,2.4,4.3,19.5,114.0,109,1.563518
anderky01,Kyle Anderson,PF,28,MEM,69,11,1484,6.7,15.1,0.446,1.2,3.5,0.33,5.6,11.6,0.481,2.2,3.4,0.638,2.2,9.6,11.9,5.9,2.5,1.5,2.3,3.5,16.8,110.0,106,8.780488
antetgi01,Giannis Antetokounmpo,PF,27,MIL,67,67,2204,15.0,27.1,0.553,1.5,5.3,0.293,13.5,21.9,0.616,12.1,16.7,0.722,2.9,14.0,17.0,8.5,1.6,2.0,4.8,4.6,43.6,124.0,106,42.492492
antetth01,Thanasis Antetokounmpo,SF,29,MIL,48,6,473,7.1,13.0,0.547,0.2,1.4,0.143,6.9,11.6,0.596,2.9,4.7,0.63,4.1,6.2,10.3,2.2,1.6,1.2,2.6,6.9,17.4,113.0,112,1.87872
anthoco01,Cole Anthony,PG,21,ORL,65,65,2059,8.4,21.4,0.391,3.1,9.2,0.338,5.3,12.2,0.432,5.1,5.9,0.854,0.8,7.4,8.2,8.7,1.1,0.4,4.0,4.0,24.9,103.0,114,3.61368
anunoog01,OG Anunoby,SF,24,TOR,48,48,1728,8.9,20.2,0.443,3.3,9.2,0.363,5.6,11.0,0.511,2.6,3.4,0.754,2.1,5.5,7.6,3.6,2.1,0.7,2.3,3.8,23.8,112.0,111,17.357143
avdijde01,Deni Avdija,SF,21,WAS,82,8,1984,6.2,14.4,0.432,2.0,6.5,0.317,4.2,8.0,0.525,2.6,3.4,0.757,1.3,9.3,10.6,4.2,1.5,1.1,2.2,4.7,17.1,106.0,113,4.91616
aytonde01,Deandre Ayton,C,23,PHO,58,58,1713,12.4,19.6,0.634,0.2,0.5,0.368,12.2,19.0,0.642,3.0,4.0,0.746,4.2,12.5,16.7,2.4,1.1,1.1,2.6,4.0,28.0,124.0,105,30.91375
ballla01,LaMelo Ball,PG,20,CHO,75,75,2422,10.7,24.8,0.429,4.4,11.2,0.389,6.3,13.7,0.462,4.2,4.8,0.872,2.1,7.8,9.9,11.3,2.4,0.6,4.9,4.7,29.9,111.0,112,8.62392
balllo01,Lonzo Ball,PG,24,CHI,35,35,1212,6.5,15.4,0.423,4.4,10.5,0.423,2.1,5.0,0.423,0.8,1.1,0.75,1.4,6.2,7.7,7.2,2.6,1.2,3.3,3.4,18.3,110.0,111,19.534884
bambamo01,Mo Bamba,C,23,ORL,71,69,1824,7.8,16.4,0.48,2.8,7.5,0.381,5.0,8.9,0.563,1.5,1.9,0.781,3.9,11.2,15.2,2.3,1.0,3.1,2.0,4.8,20.0,113.0,108,10.3
banede01,Desmond Bane,SG,23,MEM,76,76,2266,10.7,23.2,0.461,4.8,11.0,0.436,5.9,12.2,0.484,3.0,3.3,0.903,1.0,6.1,7.1,4.4,1.9,0.6,2.3,4.1,29.2,119.0,110,2.13024
bantoda01,Dalano Banton,PG,22,TOR,64,1,696,6.0,14.5,0.411,0.9,3.7,0.255,5.0,10.8,0.464,1.9,3.2,0.591,2.7,6.2,8.9,7.1,2.0,0.7,3.8,4.9,14.7,98.0,111,1.563518
barneha02,Harrison Barnes,PF,29,SAC,77,77,2587,7.3,15.5,0.469,2.6,6.7,0.394,4.6,8.8,0.525,6.3,7.7,0.826,1.5,6.5,8.0,3.5,1.0,0.3,2.2,1.7,23.5,121.0,118,18.352273
barnesc01,Scottie Barnes,PF,20,TOR,74,74,2617,8.8,17.8,0.492,1.1,3.7,0.301,7.7,14.1,0.543,3.0,4.1,0.735,3.7,6.9,10.6,4.9,1.5,1.1,2.6,3.7,21.7,116.0,111,7.6446
barrerj01,RJ Barrett,SF,21,NYK,70,70,2417,10.1,24.7,0.408,2.9,8.4,0.342,7.2,16.4,0.442,6.0,8.4,0.714,1.4,7.1,8.4,4.3,0.9,0.3,3.1,2.9,29.0,103.0,113,10.900635
bartowi01,Will Barton,SG,31,DEN,71,71,2277,8.4,19.3,0.438,3.4,9.3,0.365,5.1,10.0,0.504,2.2,2.7,0.803,0.9,6.4,7.3,5.9,1.2,0.7,2.7,2.5,22.5,108.0,114,14.375
bassech01,Charles Bassey,C,21,PHI,23,0,168,8.9,14.0,0.638,0.0,1.2,0.0,8.9,12.8,0.698,2.7,3.6,0.75,6.5,11.9,18.4,2.1,1.5,5.0,2.4,9.5,20.5,129.0,103,0.074742
bateske01,Keita Bates-Diop,SF,26,SAS,59,14,956,6.8,13.2,0.517,0.9,2.8,0.309,6.0,10.4,0.572,2.3,3.1,0.754,3.1,8.5,11.6,2.1,1.4,0.7,2.3,3.1,16.8,111.0,112,1.87872
bazleda01,Darius Bazley,PF,21,OKC,69,53,1924,6.9,16.4,0.422,2.0,6.8,0.297,4.9,9.6,0.511,3.0,4.3,0.688,1.8,9.2,11.0,2.5,1.5,1.8,2.3,1.7,18.9,101.0,111,4.264629
bealbr01,Bradley Beal,SG,28,WAS,40,40,1439,12.0,26.5,0.451,2.2,7.2,0.3,9.8,19.3,0.508,5.8,7.0,0.833,1.3,5.2,6.5,9.1,1.2,0.5,4.6,3.3,31.9,106.0,117,43.27925
beaslma01,Malik Beasley,SG,25,MIN,79,18,1976,8.0,20.5,0.391,5.8,15.3,0.377,2.2,5.1,0.432,1.2,1.4,0.817,0.6,4.8,5.5,2.8,1.0,0.3,1.0,2.1,22.9,111.0,116,15.558035
beverpa01,Patrick Beverley,PG,33,MIN,58,54,1476,5.7,14.1,0.406,2.7,7.8,0.343,3.0,6.3,0.485,3.1,4.3,0.722,2.0,5.7,7.7,8.6,2.2,1.7,2.4,5.6,17.2,119.0,111,13.0
beysa01,Saddiq Bey,SF,22,DET,82,82,2704,8.1,20.5,0.396,3.8,11.0,0.346,4.3,9.5,0.454,3.8,4.6,0.827,1.9,6.0,8.0,4.2,1.3,0.3,1.7,2.3,23.8,110.0,116,2.95908
birchkh01,Khem Birch,C,29,TOR,55,28,991,4.9,10.1,0.485,0.0,0.7,0.0,4.9,9.4,0.522,2.7,3.6,0.746,6.2,5.9,12.1,2.8,1.5,1.3,1.5,5.2,12.5,124.0,111,6.6675
bitadgo01,Goga Bitadze,C,22,IND,50,16,729,8.8,16.9,0.52,1.5,5.4,0.288,7.3,11.6,0.628,4.3,6.3,0.681,5.3,6.6,11.9,3.7,1.4,2.8,3.1,7.2,23.4,118.0,114,4.765339
bledser01,Eric Bledsoe,PG,32,LAC,54,29,1361,7.1,16.8,0.421,1.8,5.9,0.313,5.3,11.0,0.479,3.2,4.2,0.761,1.0,5.5,6.6,8.1,2.5,0.7,4.2,3.1,19.2,100.0,110,1.3
bogdabo01,Bogdan Bogdanović,SG,29,ATL,63,27,1848,9.1,21.1,0.431,4.5,12.2,0.368,4.6,8.9,0.516,2.6,3.1,0.843,0.8,5.9,6.6,5.2,1.8,0.4,1.9,3.5,25.3,114.0,116,18.0
